type, dim, nclass
cat,2,2
pos,1,
pos,1,
cat,2,2
pos,1,
cat,2,2
pos,1,
cat,8,8
real,1,
cat,5,5
pos,1,
pos,1,
pos,1,
real,1,
pos,1,
real,1,
pos,1,
cat,2,2
cat,2,2
cat,2,2
cat,2,2
cat,3,3
cat,2,2
cat,2,2
cat,2,2
cat,2,2
cat,2,2
cat,3,3
cat,2,2
cat,2,2
cat,2,2
cat,3,3
cat,6,6
cat,4,4
pos,1,
cat,3,3
cat,2,2
cat,2,2
cat,2,2
cat,2,2
cat,2,2
cat,2,2
cat,3,3
cat,3,3
cat,2,2
cat,2,2
cat,3,3
cat,3,3
cat,3,3
pos,1,
pos,1,
cat,2,2
pos,1,
pos,1,
pos,1,
pos,1,
real,1,
real,1,
cat,2,2